Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Static Method,"Bootstrap.main",Bootstrap.java,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43,5,,,,28,5,21,,,10,,,,,,,8,12,1,14,19,5,,,14,,,5,5,5,1,3,,,,,0,,2,0,,,0,36,5,5,5,1
Static Method,"Bootstrap.runCommand",Bootstrap.java,,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,0,,,,10,2,6,,,4,,,,,,,1,4,1,8,11,4,,,7,,,3,3,3,1,0,,,,,0,,1,0,,,0,40,3,3,3,1
Static Method,"Bootstrap.runCommand",Bootstrap.java,,,,,,,,,,,,,,,,,,,,,,,,,,,4,31,5,,,,22,6,17,,,4,,,,,,,7,6,1,14,18,6,,,12,,,4,4,4,1,0,,,,,0,,2,0,,,0,18,4,4,4,1
Public Class,"Bootstrap2",Bootstrap2.java,3,3,3,1,28,3,20,4,1,1,1,0,,9,3,,,,0,0,9,9,0,8,0,1,,275,44,,,,187,47,142,,,45,,,,,,,,,,120,151,50,,,101,,,,,,,,6,6,6,1,,1,3,,81,81,0,24,30,30,31,9
Private Static Method,"Bootstrap2.buildModule",Bootstrap2.java,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,6,,,,15,2,11,,,4,,,,,,,6,4,1,6,9,2,,,7,,,3,3,3,1,1,,,,,0,,1,0,,,0,27,3,3,3,1
Private Static Method,"Bootstrap2.copyfile",Bootstrap2.java,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,1,,,,23,7,18,,,0,,,,,,,5,4,1,14,18,7,,,11,,,4,4,4,1,1,,,,,0,,3,0,,,0,00,4,4,4,1
Private Static Method,"Bootstrap2.doCompile",Bootstrap2.java,,,,,,,,,,,,,,,,,,,,,,,,,,,6,26,4,,,,15,4,12,,,7,,,,,,,5,2,0,11,13,4,,,9,,,2,2,2,1,0,,,,,0,,1,0,,,0,47,2,2,2,1
Private Static Method,"Bootstrap2.getSources",Bootstrap2.java,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,2,,,,6,3,4,,,0,,,,,,,2,1,0,4,5,3,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Static Method,"Bootstrap2.jarDir",Bootstrap2.java,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,1,,,,10,4,7,,,0,,,,,,,4,2,0,6,8,4,,,4,,,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Private Static Method,"Bootstrap2.jarDir",Bootstrap2.java,,,,,,,,,,,,,,,,,,,,,,,,,,,5,37,0,,,,37,11,26,,,0,,,,,,,7,7,1,22,28,11,,,17,,,6,6,6,1,3,,,,,0,,3,0,,,0,00,6,6,6,1
File,"Bootstrap2.java",Bootstrap2.java,3,3,3,1,28,3,20,4,,,,,1,9,3,9,,9,0,0,9,,0,8,0,1,,284,46,,,,191,51,142,,,48,,,,,,,,,,124,155,54,,,101,,,,,,,,6,6,6,1,,,3,,,,0,25,30,30,31,9
Public Static Method,"Bootstrap2.main",Bootstrap2.java,,,,,,,,,,,,,,,,,,,,,,,,,,,6,96,20,,,,48,7,43,,,28,,,,,,,8,8,1,42,46,9,,,37,,,4,4,4,1,0,,,,,0,,1,0,,,0,58,4,4,4,1
Private Static Method,"Bootstrap2.mkdir",Bootstrap2.java,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,,,,12,2,8,,,0,,,,,,,5,4,1,5,8,2,,,6,,,3,3,4,1,0,,,,,0,,1,0,,,0,00,3,3,4,1
Private Static Method,"Bootstrap2.scanDir",Bootstrap2.java,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,0,,,,16,3,10,,,0,,,,,,,4,5,1,7,12,4,,,8,,,5,5,5,1,2,,,,,0,,3,0,,,0,00,5,5,5,1
File,"BootstrapLoader.java",BootstrapLoader.java,3,3,3,1,20,1,14,4,,,,,1,3,2,10,,10,7,1,10,,0,5,2,3,,298,37,,,,158,51,98,,,103,,,,,,,,,,78,110,47,,,63,,,,,,,,8,8,8,6,,,5,,,,0,65,30,30,31,19
