Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclProperty,CountDeclPropertyAuto,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AntSoundPlayer.java",AntSoundPlayer.java,1,1,2,1,11,0,6,4,,,,,1,0,0,14,,14,14,6,,,,,,14,,0,,3,0,,11,,,,236,33,,,,110,43,56,,,93,,,,,,,,,,,,53,78,42,,,36,,,,,,,,7,7,7,4,,,2,,,,0,85,26,26,28,17
File,"AntStarTeamCheckOut.java",AntStarTeamCheckOut.java,1,1,2,1,18,1,7,9,,,,,1,1,3,43,,43,42,17,,,,,,43,,0,,2,12,,29,,,,1076,170,,,,369,130,216,,,538,,,,,,,,,,,,186,270,124,,,146,,,,,,,,9,9,9,4,,,3,,,,1,46,82,82,90,56
File,"AntStructure.java",AntStructure.java,6,6,7,2,41,3,31,6,,,,,1,0,3,7,,7,7,3,,,,,,7,,0,,3,2,,2,,,,356,37,,,,248,55,178,,,71,,,,,,,,,,,,150,193,57,,,136,,,,,,,,23,23,29,6,,,6,,,,0,29,43,43,53,16
File,"AntStructureTest.java",AntStructureTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,0,,,,,,3,,0,,0,0,,3,,,,36,5,,,,13,6,3,,,18,,,,,,,,,,,,5,9,6,,,3,,,,,,,,1,1,1,1,,,0,,,,1,38,3,3,3,3
File,"AntSubTask.java",AntSubTask.java,3,3,4,3,24,3,13,8,,,,,1,2,0,4,,4,2,0,,,,,,4,,0,,1,2,,1,,,,174,19,,,,67,21,33,,,88,,,,,,,,,,,,29,44,21,,,23,,,,,,,,7,7,10,7,,,4,,,,1,31,14,14,17,14
File,"AntTest.java",AntTest.java,1,1,1,1,5,0,5,0,,,,,5,0,0,73,,73,73,14,,,,,,73,,8,,1,2,,62,,,,511,71,,,,419,142,231,,,21,,,,,,,,,,,,178,282,139,,,143,,,,,,,,10,10,10,1,,,7,,,,0,05,99,99,99,73
File,"AntTypeDefinition.java",AntTypeDefinition.java,3,3,3,2,17,0,11,5,,,,,1,0,0,18,,18,18,6,,,,,,18,,0,,3,0,,15,,,,374,28,,,,220,42,138,,,126,,,,,,,,,,,,81,137,39,,,98,,,,,,,,7,7,11,7,,,3,,,,0,57,58,58,64,42
File,"AntXMLContext.java",AntXMLContext.java,1,1,1,1,8,0,4,4,,,,,1,0,0,28,,28,28,12,,,,,,28,,0,,0,0,,28,,,,366,49,,,,141,58,58,,,177,,,,,,,,,,,,69,105,58,,,47,,,,,,,,2,2,3,1,,,1,,,,1,26,35,35,37,28
File,"Antidote.html",Antidote.html,0,0,0,0,98,18,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,98,18,18,0,0,0,,,0,0,0,0,0,0,98,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0,00,0,0,0,0
File,"Antlib.java",Antlib.java,2,2,2,1,16,0,11,5,,,,,1,1,1,6,,6,5,3,,,,,,6,,0,,1,2,,3,,,,165,15,,,,87,34,49,,,63,,,,,,,,,,,,50,63,32,,,31,,,,,,,,4,4,4,3,,,2,,,,0,72,12,12,12,8
