Kind,Name,File,CountClassCoupled,CountDeclMethod,CountDeclMethodAll,CountClassDerived,CountLineCode,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree,Path,class_frequency,will_change,number_of_changes,release
Public Class,org.apache.tools.ant.taskdefs.ImportTask,ImportTask.java,15.0,14.0,53.0,0.0,196.0,46,82.0,3.0,org.apache.tools.ant.taskdefs.ImportTask.ImportTask.java,4,1,9,9
Public Class,org.apache.tools.ant.taskdefs.ImportTest,ImportTest.java,5.0,12.0,12.0,0.0,122.0,1,0.0,1.0,org.apache.tools.ant.taskdefs.ImportTest.ImportTest.java,4,1,9,9
Public Class,org.apache.tools.ant.taskdefs.InitializeClassTest,InitializeClassTest.java,3.0,3.0,3.0,0.0,31.0,16,33.0,1.0,org.apache.tools.ant.taskdefs.InitializeClassTest.InitializeClassTest.java,5,1,9,9
Public Class,org.apache.tools.ant.taskdefs.Input,Input.java,7.0,8.0,47.0,0.0,122.0,66,72.0,3.0,org.apache.tools.ant.taskdefs.Input.Input.java,5,1,9,9
Public Class,org.apache.tools.ant.taskdefs.Input.Handler,Input.java,5.0,7.0,63.0,0.0,42.0,67,57.0,5.0,org.apache.tools.ant.taskdefs.Input.Handler.Input.java,3,0,8,9
Public Static Class,org.apache.tools.ant.taskdefs.Input.HandlerType,Input.java,5.0,2.0,11.0,0.0,14.0,36,0.0,2.0,org.apache.tools.ant.taskdefs.Input.HandlerType.Input.java,3,0,8,9
Public Class,org.apache.tools.ant.taskdefs.InputTest,InputTest.java,4.0,13.0,13.0,0.0,73.0,0,46.0,1.0,org.apache.tools.ant.taskdefs.InputTest.InputTest.java,5,1,9,9
Public Abstract Class,org.apache.tools.ant.taskdefs.JDBCTask,JDBCTask.java,6.0,26.0,65.0,1.0,213.0,1,89.0,3.0,org.apache.tools.ant.taskdefs.JDBCTask.JDBCTask.java,5,1,8,9
Public Class,org.apache.tools.ant.taskdefs.Jar,Jar.java,25.0,37.0,194.0,2.0,675.0,59,91.0,5.0,org.apache.tools.ant.taskdefs.Jar.Jar.java,9,1,9,9
Public Static Class,org.apache.tools.ant.taskdefs.Jar.FilesetManifestConfig,Jar.java,0.0,1.0,10.0,0.0,5.0,40,0.0,2.0,org.apache.tools.ant.taskdefs.Jar.FilesetManifestConfig.Jar.java,4,1,8,9
Public Static Class,org.apache.tools.ant.taskdefs.Jar.StrictMode,Jar.java,1.0,4.0,13.0,0.0,13.0,0,0.0,2.0,org.apache.tools.ant.taskdefs.Jar.StrictMode.Jar.java,3,1,8,9
Anonymous Class,org.apache.tools.ant.taskdefs.Jar.findJarName.(Anon_1),Jar.java,0.0,1.0,1.0,0.0,8.0,12,0.0,2.0,org.apache.tools.ant.taskdefs.Jar.findJarName.(Anon_1).Jar.java,4,0,8,9
Public Class,org.apache.tools.ant.taskdefs.JarTest,JarTest.java,8.0,35.0,35.0,0.0,270.0,4,81.0,1.0,org.apache.tools.ant.taskdefs.JarTest.JarTest.java,7,1,9,9
Public Class,org.apache.tools.ant.taskdefs.Java,Java.java,23.0,67.0,106.0,0.0,480.0,89,94.0,3.0,org.apache.tools.ant.taskdefs.Java.Java.java,9,1,9,9
Public Class,org.apache.tools.ant.taskdefs.JavaTest,JavaTest.java,8.0,34.0,34.0,0.0,398.0,15,48.0,1.0,org.apache.tools.ant.taskdefs.JavaTest.JavaTest.java,6,1,9,9
Public Static Class,org.apache.tools.ant.taskdefs.JavaTest.EntryPoint,JavaTest.java,0.0,1.0,1.0,0.0,21.0,52,0.0,1.0,org.apache.tools.ant.taskdefs.JavaTest.EntryPoint.JavaTest.java,5,0,8,9
Public Static Class,org.apache.tools.ant.taskdefs.JavaTest.ExceptingEntryPoint,JavaTest.java,0.0,1.0,1.0,0.0,5.0,60,0.0,1.0,org.apache.tools.ant.taskdefs.JavaTest.ExceptingEntryPoint.JavaTest.java,5,0,8,9
Public Static Class,org.apache.tools.ant.taskdefs.JavaTest.PipeEntryPoint,JavaTest.java,2.0,1.0,1.0,0.0,20.0,35,0.0,1.0,org.apache.tools.ant.taskdefs.JavaTest.PipeEntryPoint.JavaTest.java,4,0,9,9
Public Static Class,org.apache.tools.ant.taskdefs.JavaTest.ReadPoint,JavaTest.java,0.0,1.0,1.0,0.0,6.0,0,0.0,1.0,org.apache.tools.ant.taskdefs.JavaTest.ReadPoint.JavaTest.java,2,0,8,9
Public Static Class,org.apache.tools.ant.taskdefs.JavaTest.SpawnEntryPoint,JavaTest.java,0.0,1.0,1.0,0.0,26.0,12,0.0,1.0,org.apache.tools.ant.taskdefs.JavaTest.SpawnEntryPoint.JavaTest.java,4,1,9,9
